Teilnehmer	AufgabeItem	Antwort	gesamt	morph_overlap
2319	50.2	öffentlichen Dienst	1	3.0
2746	50.2	öffentliche Dienst	1	2.9722222222222223
2525	50.2	öffentliche Dienst	1	2.9722222222222223
2752	50.2	öffentliche Dienst	1	2.9722222222222223
2509	50.2	öffentliche Dienst	1	2.9722222222222223
2349	50.2	öffentliche Dienst	1	2.9722222222222223
2369	50.2	öffentlicher Dienst	1	2.944444444444444
2508	50.2	öffentlicher Dienst	1	2.944444444444444
2765	50.2	Öffentlichen Dienst	1	1.5
2777	50.2	offentliches Dienst	1	1.5
2478	50.2	Öffentlichen Dienst	1	1.5
2462	50.2	Öffentlichen Dienst	1	1.5
2753	50.2	Öffentlichen Dienst	1	1.5
2748	50.2	Öffentlichen Dienst	1	1.5
2782	50.2	Öffentlichen Dienst	1	1.5
2505	50.2	Offentlichen Dienst	1	1.5
2484	50.2	öffenlichen Dienst	1	1.5
2790	50.2	Offentliche Dienst	1	1.5
2796	50.2	offentlichen Dienst	1	1.5
2459	50.2	Öffentlichen Dienst	1	1.5
2507	50.2	öffentlichen Diesnt	1	1.5
2499	50.2	offentlichen Dienst	1	1.5
2722	50.2	Öffentliche Dienst	1	1.5
2747	50.2	höffentliche Dienst	0	1.5
2689	50.2	Öffenliche Dienst	1	1.5
2720	50.2	Öffentlicher Dienst	1	1.5
2713	50.2	Offentliche Dienst	1	1.5
2707	50.2	Öffentlichen Dienst	1	1.5
2724	50.2	Öffentlichen Dienst	1	1.5
2725	50.2	Öffentlichen Dienst	1	1.5
2696	50.2	offentlichen Dienst	1	1.5
2690	50.2	Öffentlichen Dienst	1	1.5
2688	50.2	offentlichen Dienst	1	1.5
2521	50.2	Öffintliche Dienst	1	1.5
2732	50.2	Öffentlichen Dienst	1	1.5
2657	50.2	Öffentlichen Dienst	1	1.5
2647	50.2	Öffentlichen Dienst	1	1.5
2736	50.2	Öffintlichen Dienst	1	1.5
2737	50.2	Dienst	0	1.5
2738	50.2	Öffentlichen Dienst	1	1.5
2721	50.2	offentlischen Dienst	1	1.5
2535	50.2	oeffentlichen Dienst	1	1.5
2289	50.2	öffentlichen DIenst	1	1.5
2454	50.2	offentlichen Dienst	1	1.5
2434	50.2	Öffentlichen Dienst	1	1.5
2405	50.2	freien Dienst	0	1.5
2400	50.2	Öffentlichen Dienst	1	1.5
2395	50.2	Öffentlichen Dienst	1	1.5
2302	50.2	Öffentlichen Dienst	1	1.5
2373	50.2	Öffentlichen Dienst	1	1.5
2363	50.2	Öffentliche Dienst	1	1.5
2361	50.2	Öffentlichen Dienst	1	1.5
2310	50.2	Öffentlichen Dienst	1	1.5
2359	50.2	Offentlichen Dienst	1	1.5
2358	50.2	Offentlichen Dienst	1	1.5
2313	50.2	Öffentlichen Dienst	1	1.5
2336	50.2	Öfentliche Dienst	1	1.5
2316	50.2	offentliche Dienst	1	1.5
2318	50.2	Öffentlichen Dienst	1	1.5
2327	50.2	öfentliche Dienst	1	1.5
2320	50.2	offentlichen Dienst	1	1.5
2322	50.2	Öffentliche Dienst	1	1.5
2298	50.2	Öffentlichen Dienst	1	1.5
2321	50.2	Öffentlichen Dienst	1	1.5
2292	50.2	offentlichen Dienst	1	1.5
2453	50.2	Öffentlichen Dienst	1	1.5
2448	50.2	offentlichene Dienst	0	1.5
2447	50.2	öffentlischen Dienst	1	1.5
2443	50.2	Öffentlichen Dienst	1	1.5
2438	50.2	Öffentlichen Dienst	1	1.5
2522	50.2	öffentliche Ver	0	1.4722222222222223
2444	50.2	öffentliche dienst	1	1.4722222222222223
2740	50.2	öffentliche dienst	1	1.4722222222222223
2532	50.2	öffentlich dinst	1	1.4444444444444446
2307	50.2	Öffitlichdiensz	0	0.0
2793	50.2	Energie	0	0.0
2750	50.2	Öffentlichendienst	1	0.0
2751	50.2	Programieresprache	0	0.0
2791	50.2	möglichkeiten	0	0.0
2308	50.2	Energieversorgungsgang	0	0.0
2294	50.2	Workshop	0	0.0
2304	50.2	Öffentlichendienst	1	0.0
2783	50.2	offentlischdienst	0	0.0
2795	50.2	Energienversorgung	0	0.0
2794	50.2	Öffentlichdienst	1	0.0
2311	50.2	Ennergieversorgung	0	0.0
2755	50.2	og	0	0.0
2314	50.2	Programmieren	0	0.0
2315	50.2	Programmieren	0	0.0
2797	50.2	Ingenieur	0	0.0
2735	50.2	Öffentlichending	0	0.0
2798	50.2	Moglichkeit	0	0.0
2303	50.2	Öffentlichedienst	1	0.0
2757	50.2	energieversogu	0	0.0
2756	50.2	offentli	0	0.0
2295	50.2	oeffentliechen dienst	1	0.0
2784	50.2	Programieren	0	0.0
2781	50.2	öfentliche dingst	0	0.0
2780	50.2	Öffentlivchendienst	1	0.0
2779	50.2	oofentlichen DIENST	0	0.0
2785	50.2	Energiesorgung	0	0.0
2786	50.2	programierung	0	0.0
2776	50.2	Energieversorgung	0	0.0
2775	50.2	Ingeni	0	0.0
2774	50.2	Jobmesse	0	0.0
2773	50.2	öffenlichendienst	1	0.0
2787	50.2	Offentlichendienst	1	0.0
2772	50.2	ÖFFENTLICHENDIENST	1	0.0
2769	50.2	Beruf	0	0.0
2731	50.2	offentliche	0	0.0
2767	50.2	Öffentlichendienst	1	0.0
2789	50.2	Öffentlichdienst	1	0.0
2764	50.2	PROGRAMMIEREN	0	0.0
2763	50.2	Öffenlichtendienst	1	0.0
2762	50.2	offentliche ..	0	0.0
2761	50.2	Öffentlichendienst	1	0.0
2760	50.2	Jobmesse	0	0.0
2759	50.2	Öffentlichendienst	1	0.0
2758	50.2	energieversorgung	0	0.0
2768	50.2	Öffentliche	0	0.0
2337	50.2	Programmierung	0	0.0
2726	50.2	Energie Versorgung	0	0.0
2503	50.2	Öfentlichendienst	1	0.0
2527	50.2	programmieru	0	0.0
2524	50.2	Öffentlichendienst	1	0.0
2401	50.2	OFFENTLICHEN	0	0.0
2518	50.2	öffentllicher dienst	1	0.0
2517	50.2	Energirvsergung	0	0.0
2515	50.2	Öffentlichendienst	1	0.0
2514	50.2	Öffentlichendienst	1	0.0
2406	50.2	programmierung	0	0.0
2433	50.2	Energieversorgung	0	0.0
2506	50.2	programische Sprachen	0	0.0
2436	50.2	Öffentlichdienst	1	0.0
2502	50.2	offentlichen dienst	1	0.0
2531	50.2	jobmesse	0	0.0
2501	50.2	dinst	0	0.0
2497	50.2	Jobmesse	0	0.0
2492	50.2	vor mittag	0	0.0
2440	50.2	öffentliche	0	0.0
2487	50.2	Öffentlichendienst	1	0.0
2486	50.2	viel	0	0.0
2485	50.2	Möglichkeit	0	0.0
2479	50.2	ennergi	0	0.0
2446	50.2	Öffenlichkeitsdienst	0	0.0
2477	50.2	anwendung	0	0.0
2467	50.2	Beruf	0	0.0
2528	50.2	Programmieren	0	0.0
2394	50.2	WORKSHAP	0	0.0
2328	50.2	Energieversorgung	0	0.0
2682	50.2	Öffentlichdienst	1	0.0
2723	50.2	Programmieren	0	0.0
2334	50.2	Öffentlichendienst	1	0.0
2335	50.2	energieversorgung	0	0.0
2715	50.2	Öffenliche dienst	1	0.0
2460	50.2	Öffentlichendienst	1	0.0
2712	50.2	öffentlichendings	0	0.0
2347	50.2	Programmieren	0	0.0
2360	50.2	Raum 5	0	0.0
2362	50.2	offentlivhen dienst	1	0.0
2367	50.2	LV1	0	0.0
2368	50.2	offentlichendienst	1	0.0
2375	50.2	Programmieren	0	0.0
2391	50.2	öffintlichendienst	1	0.0
2376	50.2	Öffentlichen DIenst	1	0.0
2656	50.2	Öffentlichesdienst	1	0.0
2380	50.2	offentlichen dienst	1	0.0
2651	50.2	Offenlichedienst	1	0.0
2650	50.2	Öffentlichedienst	1	0.0
2382	50.2	OFFENTLICHEN DIENST	1	0.0
2648	50.2	Öffentlichdienst	1	0.0
2383	50.2	Energieversorgung	0	0.0
2384	50.2	Öffentlichendienst	1	0.0
2538	50.2	Möglichkeiten	0	0.0
2388	50.2	Engenierin	0	0.0
2800	50.2	Programmierung	0	0.0
