	Teilnehmer	AufgabeItem	Antwort	gesamt	kein_Noten_geben_dist
32	2359	51.1	Sie kritisiert die klassichen Noten System	0	0.7460081247548567
134	2651	51.1	das Shüler ein	0	0.7454118974560031
174	2745	51.1	Sie findet, dass die Urteilung für die Schüler häufig subjektiv ist.	0	0.7447542364159414
114	2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	0.7434030181058154
190	2764	51.1	die Schuelenoten sind sinn uder unsinnvoll	0	0.7433602913778518
21	2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.7412366976066976
173	2743	51.1	wenige vergleich  die aufgabe keine nute bekommen	0	0.7375450972615545
73	2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.7311555073865628
3	2294	51.1	neue Notensysteme	0	0.7298168035452602
99	2486	51.1	Notesystem hat manche probleme	0	0.7292967465542973
150	2707	51.1	Notensystem verändern  Schuler konkrete Kommentar bekommen sollen	1	0.727696442812024
50	2388	51.1	Kritiserung der Noten	0	0.7272521151959813
143	2689	51.1	dismotivative Noten	0	0.7269060917078131
200	2778	51.1	Die Note ist notwendig	0	0.7267689309903258
171	2741	51.1	faire Beurteiling durch verschiedene lehrer  Dass Note	0	0.7263179206769756
45	2378	51.1	gleich Notte	0	0.7180571093208143
62	2435	51.1	Schriftliche Kommentare/Berichte, die aufzeigen, wo Defizite sind, wo Verbeserungsmöglichkeiten sind wo Schüler gut sind	1	0.7079568256424313
4	2295	51.1	klassishchen Notgeben subjektiv sind	0	0.6969674723991183
115	2516	51.1	Notin nich eefektiv	0	0.6906956957032432
72	2445	51.1	kritiesiert Noten	0	0.6888132560339861
71	2444	51.1	lehrkräfte - schuler-innen probleme	0	0.6882451539073982
149	2706	51.1	faire Beurteilung felht  die Noten demotivieren die Schüler	0	0.6870660923919757
194	2769	51.1	Deutsche Lererin	0	0.6852208750781226
187	2760	51.1	Noten als Vergleichkreterium lassen	0	0.6756964066521629
131	2648	51.1	Abschaffung der Noten	1	0.6706869969744214
164	2733	51.1	Kritik an klassischen Schulnoten	0	0.6637679027667612
212	2794	51.1	Notensystem komplett verzichten	1	0.6533003916663861
90	2468	51.1	kritik  schifliche berichten	0	0.6401396962705326
206	2785	51.1	schriftliche Berichte erhalten	0	0.6361871323313277
10	2309	51.1	sind wichtg	0	0.6317806030473925
179	2750	51.1	fair beurteilung  subjektive noten	0	0.6219933547861893
40	2371	51.1	subjektive Noten  schriftliche Berichte	0	0.6193055205744813
180	2751	51.1	Klassische Noten	0	0.6068648493018978
88	2464	51.1	Noten abschaffen	1	0.6009946786128281
159	2726	51.1	Kritisiert die Noten System	0	0.5942735085464612
41	2373	51.1	Fördert der System	0	0.5874846890929084
119	2522	51.1	mithilfe des berichts	0	0.584023970093472
51	2390	51.1	verbeserrung der Arbeitkräfte	0	0.583655623149953
133	2650	51.1	schriftliche Berichte	1	0.581647474861948
186	2759	51.1	Fehler in dem Notensystem	0	0.556781408541522
124	2533	51.1	Anhaltspunkte sollen ander	0	0.5521780100643064
141	2685	51.1	Noten nötig  schriftlicher Bericht	0	0.5456355362593943
63	2436	51.1	klassiche Noten notwendig	0	0.5432575720057902
47	2380	51.1	faire Beurteilung ,	0	0.53955735754446
177	2748	51.1	Notensystem subjektiv ist	0	0.533433280068042
156	2722	51.1	klassische Noten kritirieren	0	0.5177123003148046
130	2647	51.1	Kritisiert Noten	0	0.5157857329451155
110	2506	51.1	logische schluss Forderung	0	0.49919638227656526
98	2485	51.1	Noten	0	0.4669478197915058
168	2738	51.1	subjektiv  demotivierend	0	0.46621439324336
201	2779	51.1	nue Notesystem	0	0.45966861884767496
188	2761	51.1	Kritik	0	0.45340876546490605
55	2399	51.1	N0ten Beurteilung	0	0.44791318935503743
213	2795	51.1	Schulnoten benotig	0	0.4403986265651496
94	2479	51.1	bildungs forscher   bildungs forscerung	0	0.430074044101722
18	2319	51.1	Fehlerbeurteilung der Notegebung	0	0.41085199977539566
117	2519	51.1	Freie Beurteilung	0	0.3964971014213121
144	2690	51.1	Das Notensystem ist unfair.	0	0.3926966288720588
210	2791	51.1	kritisiert klassische Notebuch	0	0.3749657396651789
89	2467	51.1	Schrifftliches Berichten	1	0.3609751826829285
165	2735	51.1	klassische Notengebung	0	0.345570017360042
58	2405	51.1	entwicklung Gäspreche	1	0.33808684624935936
46	2379	51.1	gleiche note  agrumente	0	0.3302540430027525
118	2520	51.1	veie beurteilung	0	0.3116106916518565
68	2441	51.1	lehrkräfte  klassische umgebung	0	0.30878040385410155
36	2363	51.1	Notesystem	0	0.2865392565751157
33	2360	51.1	notesystem	0	0.2865392565751157
128	2542	51.1	Noten system	0	0.281488360240467
101	2488	51.1	Kritisch	0	0.28117273579473423
0	2290	51.1	Ä	0	0.2720888033197908
19	2320	51.1	#NAME?	1	0.26908945804563456
198	2774	51.1	Kritisierung im Notensystem	0	0.26346482572826413
146	2692	51.1	Subjektiv	0	0.25550515171427945
37	2367	51.1	hv2	0	0.2538381968745851
48	2384	51.1	klasische Notengebung	0	0.249548279993833
76	2449	51.1	Berichte	0	0.24849670629958287
214	2796	51.1	Fehlerbeurteilung	0	0.22225742654025982
112	2508	51.1	Something about Israel	0	0.18166212893623923
216	2798	51.1	Note	0	0.10475708752558
