	Teilnehmer	AufgabeItem	Antwort	gesamt	dist
34	2361	51.1	Klasischen Schulnoten sind nicht fair	0	0.4315563085765657
179	2750	51.1	fair beurteilung  subjektive noten	0	0.43089797138970676
14	2314	51.1	kritisiert die klassischen Noten in der Schule	0	0.4288810682112746
77	2451	51.1	Hinweise zur Verbesserung und Kommentar statt der Noten	1	0.42848615772343523
74	2447	51.1	klassische Noten kritisieren  Notensystem soll geändert werden	0	0.4263133023750474
99	2486	51.1	Notesystem hat manche probleme	0	0.42259781974189714
178	2749	51.1	Klassische Noten zu geben macht sinn.	0	0.42245435160488465
120	2523	51.1	Die Noten sind subjektiv  Schulnoten durch Berichte ersetzen	1	0.4222788222065985
176	2747	51.1	"Kritik, keine Noten, ""wo kann ich mich verbessern"", entwlickung Gespräche um die schwache Punkten zu wissen"	1	0.4200312618880311
23	2328	51.1	Die Schulnoten subjektiv sind  neue Notensystem	0	0.4199320041183321
148	2697	51.1	Der Notensystem ist nicht vergleichbar, er erspricht den wirklichen Leistungen nicht, nur hinweise, Noten demotivierend sind, entwickulnggescprache ersatyt werden	0	0.4194465016202358
102	2489	51.1	Schüler nur Hinweise und Kommentare bekommen	1	0.41565999698642386
8	2303	51.1	Unterschiede zwischen die Noten und die eigene Vermögen der Schüler	0	0.41357556571774123
100	2487	51.1	Beurteilung, Kritik über Schulnoten	0	0.40962143382003546
211	2792	51.1	Einfluss der Noten für die Fähigkeit der Schüler	0	0.3955441879270356
127	2538	51.1	Die Noten sind vergleichbar  Die Notegebung ist subjektiv.	0	0.39213345001588795
125	2534	51.1	faire Bewertung der Leistungen der Schuler  auf klassische Notensystem verzichten  stattdessen - Entwicklungsgesprache	1	0.39084414825713965
150	2707	51.1	Notensystem verändern  Schuler konkrete Kommentar bekommen sollen	1	0.3906870120918917
202	2781	51.1	klasische Notensistem ist nicht gut, weil mit der kann nicht gut	0	0.39024027328631516
5	2297	51.1	Noten durch schriftlichen Berichte ersetzen.	1	0.3839753006992026
184	2756	51.1	sinn und unsinn im Schulnoten	0	0.3811408644926051
164	2733	51.1	Kritik an klassischen Schulnoten	0	0.3802725627977587
56	2400	51.1	Die Schulnoten sind sehr subjektiv und unvergleichbar  Bei die selben Korrektur Aufgaben gibt es unterschiedliche Noten	0	0.377998890271791
26	2334	51.1	Sie kritiesiert die Noten und glaubt, dass sie nicht suplektiv und ausreichend sind.	0	0.3762835122134083
215	2797	51.1	Durch Schulnote kann einen Studenten beurteilt werden	0	0.3739292389575889
32	2359	51.1	Sie kritisiert die klassichen Noten System	0	0.3738971848106569
80	2454	51.1	die Schulnoten ersetzen  die Ferien beurteilen	0	0.37251291251522123
103	2497	51.1	kritische Notgebung für die Schüler  Schulnoten durch schriftliche Berichte ersetzen	1	0.3713262254428329
196	2772	51.1	DISKUTIEREN SINN-UNSSIN VON NOTEN   KRITISIEREN NOTENYISTEM	0	0.363511215168279
105	2501	51.1	notsystem ist nicht genug	0	0.3623449658169823
4	2295	51.1	klassishchen Notgeben subjektiv sind	0	0.35324933758013366
17	2318	51.1	Das Notensystem soll völlig umgewandelt werden.	0	0.35014723734579567
91	2475	51.1	Die prüfungen sind immer theoretisch und die studenten bekommen verschiedene noten	0	0.34870618495262085
173	2743	51.1	wenige vergleich  die aufgabe keine nute bekommen	0	0.3443478171871285
66	2439	51.1	Schulnoten durch Berichte ersetzen	1	0.34079768621152406
140	2682	51.1	Sie kulitisiert Schulnoten.	0	0.3329285890751157
86	2461	51.1	eine faire Beurteilung	0	0.33136568869527006
133	2650	51.1	schriftliche Berichte	1	0.329658605463373
11	2310	51.1	Sie kritisiert die klassische Notengebung;  Die noten sollen von zum Beispiel Entwicklungsgespräche ersetzt werden.	1	0.32868711674181683
185	2758	51.1	klassicche Notensystem hat sie in eigenem Buch kritisiert	0	0.328095119972049
49	2385	51.1	Die Schulnoten sind subjektiv und vergleichbar	0	0.3176402659633941
172	2742	51.1	Schulnoten sollen von schriftlichen Beratungen begleitet werden.	0	0.3118760754698424
188	2761	51.1	Kritik	0	0.3067508008713864
206	2785	51.1	schriftliche Berichte erhalten	0	0.30420801334465786
45	2378	51.1	gleich Notte	0	0.30257916471403123
84	2459	51.1	Die Noten durch die Entwicklungsgespräche ersetzen	1	0.30180703004169507
69	2442	51.1	DAS HEUTIGE NOTENSYSTEM IST NICHT OBJEKTIV, BRAUCHT ÄNDERUNGEN	0	0.29995815655556357
47	2380	51.1	faire Beurteilung ,	0	0.29906704744922796
137	2657	51.1	Nur Hinweise und Rückmeldung bekommen	1	0.2951477239740845
109	2505	51.1	Schulnoten durch schrifltiche Berichte und Kommentare zu erstezn	1	0.2923020397131886
175	2746	51.1	Hinweise sind besser für die Schüler und Schülerin	0	0.2912202966453217
7	2302	51.1	Sie kritiesrt die Schulnotensystem.	0	0.2901707985282448
118	2520	51.1	veie beurteilung	0	0.2869297441608408
6	2300	51.1	Fähre Bewertung wäre nötig	0	0.2853290470976919
12	2311	51.1	gegen Schullnoten	0	0.2832459544855471
145	2691	51.1	Schulnoten sollen durch die Kommentare ersetzt werden, die sagt, wo sich die Schüler verbessern sollen.	1	0.28140539077779647
106	2502	51.1	nur hinweise wo sich die kinder verbessern sollen   note demotivieredn schul noten komplet durch schrifftliche berichte erzeugen	1	0.278172247160697
134	2651	51.1	das Shüler ein	0	0.2750318290246043
87	2462	51.1	Schulnoten durch Gespräche mit den Schülern ersetzen	1	0.2732019247147215
162	2729	51.1	Schulnoten komplett durch Berichte oder Gespräche ersetzen	1	0.26433825186789917
90	2468	51.1	kritik  schifliche berichten	0	0.2593552203386478
218	2800	51.1	schwer zu sagen	0	0.2576620691908664
22	2326	51.1	Frau Jansson kritisiert die Schulnoten.	0	0.2576536690777089
57	2401	51.1	Sie kritisiert	0	0.25708590990974534
117	2519	51.1	Freie Beurteilung	0	0.2530518461032589
214	2796	51.1	Fehlerbeurteilung	0	0.24562327633225967
0	2290	51.1	Ä	0	0.24346087604094258
146	2692	51.1	Subjektiv	0	0.23159436527439414
19	2320	51.1	#NAME?	1	0.22631338195327322
76	2449	51.1	Berichte	0	0.22452975603211045
89	2467	51.1	Schrifftliches Berichten	1	0.2225652429781585
168	2738	51.1	subjektiv  demotivierend	0	0.20836043048063457
119	2522	51.1	mithilfe des berichts	0	0.20763795917162176
10	2309	51.1	sind wichtg	0	0.20664731857666085
15	2316	51.1	Fordert klare Gesprache, hinweise nach besserer Arbeit auch das noten ausfallen.	1	0.18872867892705836
160	2727	51.1	Hinweise geben, wo sie sich verbessern können	0	0.18728899493094842
62	2435	51.1	Schriftliche Kommentare/Berichte, die aufzeigen, wo Defizite sind, wo Verbeserungsmöglichkeiten sind wo Schüler gut sind	1	0.18416713744847746
124	2533	51.1	Anhaltspunkte sollen ander	0	0.18312367813174935
101	2488	51.1	Kritisch	0	0.18264707827215454
37	2367	51.1	hv2	0	0.1823524081934773
42	2374	51.1	wo konnen sie sich verbessern	0	0.1681981301872747
71	2444	51.1	lehrkräfte - schuler-innen probleme	0	0.1675588396238351
190	2764	51.1	die Schuelenoten sind sinn uder unsinnvoll	0	0.16100839540843292
194	2769	51.1	Deutsche Lererin	0	0.1584843417357058
28	2336	51.1	Die Schuler erhalten die Punkten in welchen Bereichen sie noch verbessern müssen	0	0.15475608563817633
112	2508	51.1	Something about Israel	0	0.14216447875474347
52	2394	51.1	dir art und wiese der bewertung der schuler kratisieren	0	0.13999220185434003
151	2712	51.1	bildungs forscherin   dagegen die shulnoten ist	0	0.12383265136464683
94	2479	51.1	bildungs forscher   bildungs forscerung	0	0.1176526671975654
44	2376	51.1	Sinn oder Unsinn?  Wenig Vergleichbar	0	0.11237988003811594
51	2390	51.1	verbeserrung der Arbeitkräfte	0	0.10169063933027955
68	2441	51.1	lehrkräfte  klassische umgebung	0	0.09736397029367361
166	2736	51.1	Die schulnoten demotivieren die Schulern..aus der Forschung in	0	0.08493452152147163
174	2745	51.1	Sie findet, dass die Urteilung für die Schüler häufig subjektiv ist.	0	0.07810786205283216
110	2506	51.1	logische schluss Forderung	0	0.06732492470506568
58	2405	51.1	entwicklung Gäspreche	1	0.06710646441000834
41	2373	51.1	Fördert der System	0	0.05554422555191896
27	2335	51.1	schulnoten müssen durch Gespräche mit den Kindern ersetzt werden.	1	0.04530065870141309
217	2799	51.1	erfahren ob, Schulung komplett  wissen welche Bereiche noch zu verbessern.	0	0.04323059183669975
